title = "elemental data"
variables = "time (yr)", "temp (deg. c)","qx(m/yr)","qz(m/yr)","x(m)","z(m)","mat","head(m)"
text  x=50.0,y=50.0,t="element # 12831 "
zone f="point",i=  3000
   10.0000000000000  24.1457796897013 -6.661338147750939E-016  0.000000000000000  245333.333333333  99433.3333333334  3  99999.9999999999
   20.0000000000000  24.1457778755641 -2.220446049250313E-016  0.000000000000000  245333.333333333  99433.3333333334  3  99999.9999999998
   30.0000000000000  24.1457724515277 -1.110223024625157E-015 -3.552713678800501E-015  245333.333333333  99433.3333333334  3  99999.9999999997
   40.0000000000000  24.1457599980245 -8.881784197001252E-016 -1.065814103640150E-014  245333.333333333  99433.3333333334  3  99999.9999999996
   50.0000000000000  24.1457357299370 -1.110223024625157E-015 -7.105427357601002E-015  245333.333333333  99433.3333333334  3  99999.9999999996
   60.0000000000000  24.1456934966155 -1.776356839400250E-015 -7.105427357601002E-015  245333.333333333  99433.3333333334  3  99999.9999999996
   70.0000000000000  24.1456258627955 -1.776356839400250E-015 -1.065814103640150E-014  245333.333333333  99433.3333333334  3  99999.9999999996
   80.0000000000000  24.1455242493708 -1.998401444325282E-015 -1.421085471520200E-014  245333.333333333  99433.3333333334  3  99999.9999999996
   90.0000000000000  24.1453791138977 -3.330669073875470E-015 -1.776356839400250E-014  245333.333333333  99433.3333333334  3  99999.9999999995
   100.000000000000  24.1451801532455 -3.774758283725532E-015 -1.421085471520200E-014  245333.333333333  99433.3333333334  3  99999.9999999995
   110.000000000000  24.1449165139975 -4.218847493575595E-015 -1.776356839400250E-014  245333.333333333  99433.3333333334  3  99999.9999999995
   120.000000000000  24.1445769994696 -4.662936703425657E-015 -2.131628207280301E-014  245333.333333333  99433.3333333334  3  99999.9999999995
   130.000000000000  24.1441502652388 -4.884981308350689E-015 -1.776356839400250E-014  245333.333333333  99433.3333333334  3  99999.9999999995
   140.000000000000  24.1436249976842 -5.551115123125783E-015 -2.486899575160351E-014  245333.333333333  99433.3333333334  3  99999.9999999995
   150.000000000000  24.1429900722137 -5.773159728050814E-015 -2.486899575160351E-014  245333.333333333  99433.3333333334  3  99999.9999999995
   160.000000000000  24.1422346895572 -5.995204332975845E-015 -2.131628207280301E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   170.000000000000  24.1413484898160 -6.661338147750939E-015 -1.776356839400250E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   180.000000000000  24.1403216449055 -6.883382752675971E-015 -1.776356839400250E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   190.000000000000  24.1391449306859 -7.105427357601002E-015 -2.131628207280301E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   200.000000000000  24.1378097804917 -7.105427357601002E-015 -2.131628207280301E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   210.000000000000  24.1363083220033 -7.105427357601002E-015 -2.131628207280301E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   220.000000000000  24.1346333994980 -7.105427357601002E-015 -2.131628207280301E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   230.000000000000  24.1327785835053 -7.771561172376096E-015 -2.842170943040401E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   240.000000000000  24.1307381698103 -7.993605777301127E-015 -3.197442310920451E-014  245333.333333333  99433.3333333334  3  99999.9999999994
   250.000000000000  24.1285071696201 -7.993605777301127E-015 -3.197442310920451E-014  245333.333333333  99433.3333333334  3  99999.9999999994
